success_probability,max_retries,mean_success_rate,mean_failed,mean_average_attempts,mean_average_duration_seconds,number_of_trials,source_csv,status
0.1,0,8.89,2.73,1.0,1.27,30,results_30_final/p0_1_r0.csv,completed
0.1,1,18.89,2.43,1.89,2.46,30,results_30_final/p0_1_r1.csv,completed
0.1,2,27.78,2.17,2.76,3.43,30,results_30_final/p0_1_r2.csv,completed
0.1,4,30.0,2.1,4.4,5.46,30,results_30_final/p0_1_r4.csv,completed
0.3,0,31.11,2.07,1.0,1.26,30,results_30_final/p0_3_r0.csv,completed
0.3,1,44.44,1.67,1.76,2.2,30,results_30_final/p0_3_r1.csv,completed
0.3,2,62.22,1.13,2.17,2.63,30,results_30_final/p0_3_r2.csv,completed
0.3,4,78.89,0.63,2.98,3.83,30,results_30_final/p0_3_r4.csv,completed
0.5,0,48.89,1.53,1.0,1.22,30,results_30_final/p0_5_r0.csv,completed
0.5,1,73.33,0.8,1.5,1.88,30,results_30_final/p0_5_r1.csv,completed
0.5,2,85.56,0.43,1.76,2.19,30,results_30_final/p0_5_r2.csv,completed
0.5,4,97.78,0.07,1.86,2.36,30,results_30_final/p0_5_r4.csv,completed
0.7,0,70.0,0.9,1.0,1.19,30,results_30_final/p0_7_r0.csv,completed
0.7,1,93.33,0.2,1.34,1.67,30,results_30_final/p0_7_r1.csv,completed
0.7,2,98.89,0.03,1.34,1.74,30,results_30_final/p0_7_r2.csv,completed
0.7,4,100.0,0.0,1.56,1.97,30,results_30_final/p0_7_r4.csv,completed
0.9,0,85.56,0.43,1.0,1.23,30,results_30_final/p0_9_r0.csv,completed
0.9,1,98.89,0.03,1.08,1.37,30,results_30_final/p0_9_r1.csv,completed
0.9,2,100.0,0.0,1.1,1.34,30,results_30_final/p0_9_r2.csv,completed
0.9,4,100.0,0.0,1.09,1.24,30,results_30_final/p0_9_r4.csv,completed
