trial_id,plan_id,total_tasks,succeeded,failed,success_rate,average_attempts,average_duration_seconds,timestamp
1,plan_001,3,0,3,0.0,1.0,1.86,2026-06-20T10:08:55
2,plan_001,3,1,2,33.33,1.0,1.1,2026-06-20T10:08:57
3,plan_001,3,0,3,0.0,1.0,1.04,2026-06-20T10:08:59
4,plan_001,3,0,3,0.0,1.0,0.91,2026-06-20T10:09:01
5,plan_001,3,0,3,0.0,1.0,1.41,2026-06-20T10:09:03
6,plan_001,3,0,3,0.0,1.0,1.39,2026-06-20T10:09:05
7,plan_001,3,0,3,0.0,1.0,1.53,2026-06-20T10:09:10
8,plan_001,3,0,3,0.0,1.0,1.14,2026-06-20T10:09:11
9,plan_001,3,1,2,33.33,1.0,1.42,2026-06-20T10:09:13
10,plan_001,3,0,3,0.0,1.0,1.24,2026-06-20T10:09:15
11,plan_001,3,0,3,0.0,1.0,1.27,2026-06-20T10:09:17
12,plan_001,3,0,3,0.0,1.0,1.48,2026-06-20T10:09:19
13,plan_001,3,1,2,33.33,1.0,1.42,2026-06-20T10:09:21
14,plan_001,3,0,3,0.0,1.0,1.74,2026-06-20T10:09:23
15,plan_001,3,0,3,0.0,1.0,0.95,2026-06-20T10:09:25
16,plan_001,3,0,3,0.0,1.0,1.5,2026-06-20T10:09:27
17,plan_001,3,0,3,0.0,1.0,1.71,2026-06-20T10:09:29
18,plan_001,3,0,3,0.0,1.0,0.96,2026-06-20T10:09:31
19,plan_001,3,0,3,0.0,1.0,1.31,2026-06-20T10:09:33
20,plan_001,3,1,2,33.33,1.0,1.35,2026-06-20T10:09:35
21,plan_001,3,1,2,33.33,1.0,0.85,2026-06-20T10:09:37
22,plan_001,3,0,3,0.0,1.0,1.11,2026-06-20T10:09:39
23,plan_001,3,0,3,0.0,1.0,1.23,2026-06-20T10:09:44
24,plan_001,3,0,3,0.0,1.0,1.19,2026-06-20T10:09:45
25,plan_001,3,0,3,0.0,1.0,1.16,2026-06-20T10:09:47
26,plan_001,3,1,2,33.33,1.0,1.24,2026-06-20T10:09:49
27,plan_001,3,0,3,0.0,1.0,1.54,2026-06-20T10:09:51
28,plan_001,3,0,3,0.0,1.0,0.9,2026-06-20T10:09:53
29,plan_001,3,0,3,0.0,1.0,1.16,2026-06-20T10:09:55
30,plan_001,3,2,1,66.67,1.0,1.13,2026-06-20T10:09:57
